
|"undefined"
str_retirement_text_9|"당신의 능력과 충성에 대한 보답으로, 당신의 군주는 당신이 왕국에서 주요 귀족사회로 들어갈수 있는 세습되는 직위를 받을 것이라 공표했다. 곧 당신은 {s7}의 남작으로 임명되고, 당신 군주의 가까운 조언자이며 부관이 되었다. 당신의 명성은 정치적임 힘과 영향력을 가져다 주었다. 당신은 이제 권력 게임을 즐기고, 거대한 영지를 관리하며, 지난날의 모험과 영광을 되새기며 시간을 보내고 있다."
str_retirement_text_10|"비록 당신이 보잘것없이 시작했지만 당신의 군주는 당신을 높이 평가하였고, 당신을 세습되는 직위인 {s9}의 {백작/백작부인}으로 임명했을때 왕국에는 충격의 물결이 스쳐 지나갔다. 광대한 영지와 재물은 이제 당신의 발아래 놓였다. 당신은 빠르게 당신 군주의 가장 신임하는 조언자가 되었고, 거의 그와 동등하게 왕국을 운영하게 되었다, 그리고 이땅의 가장 강력한 존재중의 하나로 당신의 찬란한 성에서 왕좌에 앉게 되었다."
str_loot_village|"무고한 마을 사람들을 공격한다."
str_steal_from_villagers|"가난한 마을 사람들을 약탈한다."
str_rob_caravan|"상인의 대상을 약탈한다."
str_sell_slavery|"사람들을 노예로 판다."
str_men_hungry|"식량이 부족하다."
str_men_unpaid|"사람들에게 임금을 지불할 수 없다."
str_excessive_casualties|"모든 전투를 우리 편의 피바다로 만든다."
str_surrender|"적에게 항복한다."
str_flee_battle|"전투에서 도망친다."
str_pay_bandits|"일반적인 도적떼에게 돈을 지불한다."
str_fail_quest|"우리가 명예롭게 맡은 임무를 실패한다."
str_squander_money|"우리에게 신뢰로 주어진 돈을 낭비한다."
str_murder_merchant|"냉혈한 살인을 저지른다."
str_round_up_serfs|"귀족을 대신하여 농부를 모은다."
str_battle_fate_1|"우리는 전쟁의 열기 속에서 헤어졌다."
str_battle_fate_2|"나는 상처를 입고 죽어가는채 남겨졌다."
str_battle_fate_3|"나는 적에게 무방비하게 기절당했다."
str_battle_fate_4|"나는 몸값을 위해 끌려갔다."
str_battle_fate_5|"나는 붙잡혔지만, 나중에 도망쳤다."
str_npc_morale_report|"나는 당신의 동료 선택에는 {s6}, 당신의 지도하는 방식은 {s7}, 일반적으로는 {s8}."
str_happy|"행복함"
str_content|"만족함"
str_concerned|"걱정됨"
str_not_happy|"모두가 행복하지는 않음"
str_miserable|"정말로 끔찍함"
str_morale_reg1|" 사기: {reg1}"
str_bar_enthusiastic|"                   열렬함"
str_bar_content|"              만족함"
str_bar_weary|"          피곤함"
str_bar_disgruntled|"     언짢음"
str_bar_miserable|"  비참함"
str_here_plus_space|"여기 "
str_npc1_intro|"이보시오! 뭐 알고 싶은건 없소?"
str_npc2_intro|"너! 꼬마! 너는 여기의 용병인가!?"
str_npc3_intro|"반갑습니다, 여러분. 당신은 혹시 용병 대장입니까? "
str_npc4_intro|"반갑네. 나는 타이렌. 톨라니아의 명문인 타이레니아 출신이다."
str_npc5_intro|"안녕하시오."
str_npc6_intro|"오래된 신들께서 나에게 말하시니. 나는 그들의 전도사이며 전령입니다..."
str_npc7_intro|"다가오지 마! 나는 근처에 떨거지들이 오는게 싫어!"
str_npc8_intro|"무슨 용무야?"
str_npc9_intro|"거기 당신, 선한 {남자/여자}여. 나에게 한 잔 사주지 않겠소, 응?"
str_npc10_intro|"반갑소. 나는 파즐. 드라하라 사막에서 온 상인이지."
str_npc11_intro|"이봐 당신, 나랑 잠시 잡담을 나눠볼래? 어때?"
str_npc12_intro|"안녕하신가, 젊은 친구. 함께 마시겠나?"
str_npc13_intro|"우리는 도망이나 치는 겁쟁이야... 어찌나 수치스러운가... 나는 이렇게는 살아갈 수 없어..."
str_npc14_intro|"응? 무슨 일이오?"
str_npc15_intro|"거기 당신, 나는 당신에 대해 들었소. 사람들은 당신이 일군의 지도자라고 하더군. 그게 사실이오?"
str_npc16_intro|"안녕. 당신을 보아하니 일군의 지도자처럼 보이네. 아마도 용병단일까? 여기는 뭐하러 온거야?"
str_npc17_intro|"안녕하시오, 여행자. 무언가 도와줄 일이라도 있소?"
str_npc1_intro_response_1|"뭐라고요?"
str_npc2_intro_response_1|"그래요, 나는 용병입니다. 당신은 누구지?"
str_npc3_intro_response_1|"안녕하십니까. 당신같은 사람이 이런 곳에서 뭘 하는 겁니까?"
str_npc4_intro_response_1|"어... 당신에 대해서는 들어본 적이 없군요. 미안합니다."
str_npc5_intro_response_1|"안녕하세요. 누구십니까?"
str_npc6_intro_response_1|"무슨 말이십니까?"
str_npc7_intro_response_1|"미안합니다. 저는 그냥... 당신처럼 명백하니 고귀한 따님이 여기에서 뭘 하는 겁니까?"
str_npc8_intro_response_1|"다른 약속이 없으시다면 함께 시간이나 보낼까 했습니다, 부인."
str_npc9_intro_response_1|"미안합니다만, 경. 저는 당신이 찾는 술집 주인도 아니고 심지어 당신의 종자도 아닙니다."
str_npc10_intro_response_1|"드라하라에서? 먼지가 참 많은 곳이지요."
str_npc11_intro_response_1|"흐음, 당신같은 엘프 여성분이 여기서 뭘 하는 겁니까?"
str_npc12_intro_response_1|"물론이지요. 무슨 나누고 싶은 말이라도 있습니까?"
str_npc13_intro_response_1|"누구나 운명을 바꿀 수 있어. 우리는 우리 자신을 바꿀 수 있다고."
str_npc14_intro_response_1|"동료 여행자와 함께 시간이나 보낼까 합니다. 당신이 허락한다면 말이지요."
str_npc15_intro_response_1|"그렇습니다. 그것이 당신의 용건이라면, 무슨 용무라도 있습니까?"
str_npc16_intro_response_1|"그야 여기 앉아서 술이나 마시려고 왔지요."
str_npc17_intro_response_1|"반갑습니다. 당신은 누구십니까?"
str_npc1_intro_response_2|"꺼져라, 범죄자."
str_npc2_intro_response_2|"가서 표준어나 배우시오. 나는 당신의 역겨운 발라히르 말투를 듣고 싶지 않으니까."
str_npc3_intro_response_2|"저리 가주겠어? 아가씨. 나는 용무가 있거든."
str_npc4_intro_response_2|"결코 들어본 적이 없군. 당신은 하급 귀족이겠지. 안녕히."
str_npc5_intro_response_2|"안녕히."
str_npc6_intro_response_2|"어리석은 사제여. 나는 당신의 헛소리에 관심이 없습니다. 좋은 하루 되시길."
str_npc7_intro_response_2|"좋아. 당신을 방해하지 않도록 하지."
str_npc8_intro_response_2|"아무것도 아닙니다. 나는 농담을 들을 기분이 아니거든요. 좋은 하루 되시길."
str_npc9_intro_response_2|"스스로 가져오시지!"
str_npc10_intro_response_2|"안녕히. 나와 얽히려고 하지 마시오."
str_npc11_intro_response_2|"아 뭐, 나는 우리가 나중에 서로를 잘 알아갈 기회가 있기를 바랍니다."
str_npc12_intro_response_2|"미안하지만, 지금 당장은 다른 사람과 약속이 있어서."
str_npc13_intro_response_2|"[그가 자기 생각에 잠겨있도록 내버려둔다]"
str_npc14_intro_response_2|"아무것도 아닙니다. 사과하지요."
str_npc15_intro_response_2|"나는 용건이 있으므로 당신의 일이나 신경 쓰시오, 선생."
str_npc16_intro_response_2|"당신 일이나 신경써, 아가씨."
str_npc17_intro_response_2|"안녕히, 낮선이여."
str_npc1_backstory_a|"이건 긴 이야기요. 내가 말하는 동안 당신은 앉아서 우리를 위한 술이나 한 잔 사주면 좋겠군."
str_npc2_backstory_a|"볼헤르 얄이! 나는 모험을 원한다! 나논 울딘! 요르든아들! 나는 훌륭해!"
str_npc3_backstory_a|"말해 드릴게요."
str_npc4_backstory_a|"정말인가? 뭐, 내가 오랫동안 그 이름을 버리고 있었으니 딱히 놀라운 일도 아니로군. 나는 지금 타이렌으로 가고 있다. 앉으시게, 그대에게 나의 이야기를 들려주도록 하지."
str_npc5_backstory_a|"나는 아라카누스요."
str_npc6_backstory_a|"오래된 신들께서 내게 말씀하십니다. 그분들은 저를 세상에 보내는 사자로 선포하셨습니다. 저의 이야기를 듣고 싶으십니까?"
str_npc7_backstory_a|"좋은 질문이야. 당신에게 들려줄게."
str_npc8_backstory_a|"좋아. 자네가 원한다면 내 이야기를 들려주지."
str_npc9_backstory_a|"아…  미안하군. 나는 당신네 동부인들의 관습에 익숙하지 않거든. 나는 믹카비아 출신이오. 내 이야기를 들어 보시겠소?"
str_npc10_backstory_a|"사실, 나는 꽤 멀리 여행을 해왔다오."
str_npc11_backstory_a|"원한다면야 내 이야기를 말해줄 수도 있지."
str_npc12_backstory_a|"내 이야기를 들려주겠네."
str_npc13_backstory_a|"젠장..."
str_npc14_backstory_a|"좋소. 나는 상관하지 않으니. 내 이름은 디트리히. 용의 제국 출신이오."
str_npc15_backstory_a|"나는 이 땅에 큰 위기가 닥쳐오고 있음을 그대에게 경고해야 하오."
str_npc16_backstory_a|"그렇구나. 있잖아, {선생/부인}, 나는 엘린토란의 고대로부터 이어져온 귀족 가문에서 태어난 다섯 남매 중 막내야."
str_npc17_backstory_a|"내 이름은 켄게쉬. 나는 위대한 쿨란의 아들이오."
str_npc1_backstory_b|"나는 클린틴 제국을 위해 일하는 첩자였지. 그러나 그들은 내가 적합하지 않다고 생각했는지 배신자라고 매도한 다음 추방시키더군. 이제 클린틴은 페리스노에 대한 침공을 계획하고 있는데, 놈들이 언제 공격을 시작할지는 모르겠소."
str_npc2_backstory_b|"(그는 자신의 언어로 무어라 말하고 있다.)"
str_npc3_backstory_b|"내 이름은 자이라이고 드라하라의 재빠른 기수 부족 출신이에요. 나는 유목민으로서의 부족민 생활이 나를 위한 인생이 아니라고 생각했죠. 그래서 나는 가족과 친구들에게 작별을 고하고 사막 바깥 세상을 탐험하기로 결정했답니다. 지금까지는 멋진 경험을 해왔어요."
str_npc4_backstory_b|"나는 귀족이지. 그러나 지금은 그 지위를 잃어버렸다. 내가 독재자인 톨라니안 왕을 쓰러뜨리기 위한 악당 기사단을 결성하기로 했기 때문이지."
str_npc5_backstory_b|"당신이 나를 알 리가 없지. 나는 여행자이며 방랑자요. 나는 페리스노가 신들의 시대를 살았던 고대 시대의 출신이오. 내가 살던 시대는 오래 지속되지 않았고, 지금은 비밀들을 찾아 방랑하고 있소... 비밀들... 무수한 비밀들을 찾아."
str_npc6_backstory_b|"어느 날, 제가 자고 있을 때 꿈을 꾸었습니다. 그냥 꿈이 아니었지요 - 그것은 마치 현실같았습니다! 그 모든게 너무나 선명했던 세세함, 모든 색상, 목소리와 그 모든 것들을 기억합니다. 마치 내가 꿈을 꾸면서 깨어있는 기분이었지요. 저를 화나게 하지 마시고, 계속해서 제 말을 들으십시오."
str_npc7_backstory_b|"나는 톨라니아의 영향력 있는 공작의 딸이야. 그 가문의 이름을 대면 당신은 물론 누구나가 반드시 한 번쯤을 들어봤을 가문이지. 그리고 나는 다른 귀족 가문과 결혼하기로 되어 있었지만, 나는 그러고 싶지 않았어."
str_npc8_backstory_b|"나는 저명한 하코네세 귀족의 딸이야. 아버지께서는 내가 너무 똑똑했기 때문에 나를 쫓아내 버리셨지 - 하코네세 사회에서 여성은 남성과 동등하지 않다는 것을 알고 있을거야. 여성들은 남성들에 비해 열등한 하인으로 간주되지. 나는 다른 남자들처럼 사람을 사냥하고 죽이는 법을 알고 있었고, 아버지는 그러한 이유로 나를 벌하셨지. 그분은 나를 내쫓으며 결코 돌아오지 말라고 하셨어."
str_npc9_backstory_b|"나는 믹카비아의 귀족이었으며 새로운 신들의 열렬한 지지자였소. 왕 아가서 렉스는 나의 신앙을 이유로 나를 내쫓고 내 모든 군대를 해산시켰다오. 그는 내가 그의 왕좌를 차지할만큼 강력해질까 두려워했지. 그것은 실로 있을법한 일이었소. 오직 운명의 장난이 그러한 가능성을 잃게 만들었지만."
str_npc10_backstory_b|"말했듯이 나는 드라하라 출신이오. 나는 이 땅에서 무역을 했지. 여기까지의 여행은 나에게 친절하지 않았다네. 우리가 수도를 출발하는 순간부터 빠르게도 나를 포로로 잡아가려는 사막의 악당들과 마주했지만 나는 탈출할 수 있었소. 일부 톨라니안 무법자들이 또 다시 나를 포로로 잡아서 내 모든 물건을 빼앗아 갔을때까지도 말이야."
str_npc11_backstory_b|"나는 엘프 귀족이야. 내 활은 바람과 함께 노래를 부를 수 있으며, 칼 또한 누구보다 빠르게 휘두를 수 있지. 말할 필요도 없이 당신과 당신네 부대에 간단한 자산이 될 수 있어."
str_npc12_backstory_b|"나는 이 땅에서 제일가는 의사였네. 내가 네 명의 드라하란 아미르들과 세 명의 하코네스 영주들, 한 명의 톨라니안 공작, 심지어 용의 제국의 황태자까지 치료했지. 참으로 영광스러운 나날이었어. 나는 엄청난 인맥들을 만들었고 모든 민족의 사람들이 나에게 구해달라며 간청했지. 내 대부분의 수입은 물론 가난한 사람들에게 기부했다네. 내가 하는 일로 사람들에게 도움이 된다는 것은 좋은 경험이었지..."
str_npc13_backstory_b|"나는 다시 피로 얼룩진 명예를 얻고 싶어. 하지만 우리는 지금 겁쟁이로 살아 있지... 우리는 헤일러의 진정한 남자로서 죽어야 하거늘."
str_npc14_backstory_b|"나는 나 자신에 대해서 많이 말하지는 않겠소. 나는 프라이버시가 전혀 없는 것처럼 가십거리와 정보를 털어놓기를 좋아하는 선술집의 다른 사람들과 달리 이야기를 짧게 끝낼 것이오. 그러한 행동은 제국에서 수치스럽게 여겨지거든. 나는 고귀한 귀족이며, 나는 내 나라의 개척자라고 할 수 있소."
str_npc15_backstory_b|"나는 나의 고향인 나디르에서 바다를 건너 페리스노 왕국들을 침략하려는 악랄한 배신자 잔의 위협에 대해 경고하기 위해 파견되었소이다. 우리 나라의 황제, 상 진께는 사생아가 있었소. 그분의 영원한 영광을 위해 멀리 떼어놓는 것이 올바른 일이라 믿으셨고, 그 사생아를 멀리 보내서 자라게 하셨지. 그로부터 25년이 흘러 그 사생아는 아버지를 상대로 군사를 일으켰고, 그로부터 10년 후 그가 고귀한 황제의 제국군에 패배할 때까지 싸웠소. 그 동안 잔의 첩자가 이 페리스노의 존재에 대해서 귀뜸을 해주었으리라 여겨지오. 그는 페리스노를 정복함과 동시에 황제의 군으로부터 달아나려는 의도로 페리스노를 침공하기로 했지. 나는 고향에서 가장 빠른 배에 타고서 이 페리스노 왕국들에 경고를 하기 위해 왔소이다."
str_npc16_backstory_b|"나는 엘린토의 숲에서 자랐지. 하지만 나는 언제나 바깥 세상을 보고 병사로 봉사하기를 열망했어. 그리고 언젠가 우리가 톨라니아에게 전쟁을 선포했을때 기회를 얻었지. 몇 번의 전투에서 싸운 후. 나는 병사가 되기를 그만두고 우리 가문의 병사들을 훈련시키기 위해 가문의 저택으로 돌아갔지."
